Id,SalePrice
2292,430960
2293,504356
2294,401191
2295,502909
2296,298191
2297,332692
2298,327724
2299,370922
2300,332436
2301,303407
2302,249297
2303,239659
2304,253994
2305,202564
2306,195911
2307,204461
2308,214702
2309,265428
2310,209505
2311,212630
2312,170098
2313,171273
2314,174747
2315,183327
2316,197418
2317,190172
2318,185241
2319,187436
2320,185005
2321,240095
2322,190473
2323,187497
2324,181081
2325,217241
2326,175762
2327,202494
2328,223019
2329,189276
2330,182138
2331,357688
2332,396316
2333,324450
2334,247334
2335,266646
2336,310524
2337,198647
2338,264375
2339,216951
2340,401778
2341,223391
2342,236274
2343,232912
2344,213476
2345,235685
2346,209105
2347,197291
2348,243088
2349,172799
2350,301352
2351,250076
2352,249280
2353,250258
2354,140234
2355,143969
2356,147852
2357,188988
2358,194115
2359,131171
2360,116761
2361,147180
2362,280120
2363,130174
2364,158427
2365,221986
2366,198244
2367,223105
2368,216168
2369,215722
2370,166332
2371,161550
2372,189188
2373,282664
2374,322943
2375,242472
2376,321343
2377,374287
2378,141546
2379,208430
2380,150989
2381,173812
2382,210545
2383,203748
2384,251630
2385,159774
2386,130468
2387,134526
2388,101686
2389,120826
2390,138929
2391,144863
2392,116030
2393,162398
2394,138078
2395,210306
2396,139290
2397,227694
2398,132153
2399,70517
2400,70319
2401,122972
2402,134029
2403,147712
2404,147507
2405,162860
2406,145684
2407,122317
2408,148019
2409,118486
2410,170525
2411,111545
2412,156132
2413,126709
2414,151387
2415,137970
2416,122398
2417,132943
2418,134448
2419,123365
2420,120988
2421,148425
2422,103867
2423,106353
2424,157884
2425,212267
2426,126560
2427,126868
2428,176750
2429,110540
2430,132627
2431,109549
2432,144798
2433,144842
2434,135148
2435,151210
2436,108358
2437,105476
2438,123516
2439,105906
2440,123659
2441,94139
2442,101406
2443,128510
2444,135502
2445,91730
2446,132755
2447,178146
2448,123047
2449,113989
2450,145660
2451,126377
2452,190917
2453,90456
2454,114382
2455,118762
2456,129644
2457,129058
2458,128605
2459,110959
2460,138863
2461,125293
2462,129293
2463,123704
2464,170526
2465,144984
2466,115503
2467,126993
2468,86809
2469,82360
2470,185374
2471,209933
2472,157969
2473,106245
2474,75227
2475,219355
2476,113337
2477,123795
2478,153108
2479,99497
2480,151431
2481,122395
2482,123716
2483,111158
2484,122342
2485,124206
2486,142118
2487,172400
2488,167338
2489,155653
2490,140132
2491,91567
2492,198892
2493,149058
2494,139399
2495,83710
2496,260173
2497,155260
2498,112775
2499,87641
2500,119231
2501,133570
2502,145813
2503,99634
2504,189901
2505,218819
2506,258037
2507,299261
2508,257230
2509,212150
2510,214391
2511,174704
2512,206011
2513,223138
2514,253446
2515,146449
2516,174141
2517,145727
2518,147818
2519,232689
2520,213037
2521,188417
2522,225625
2523,118647
2524,135080
2525,149304
2526,138099
2527,116489
2528,127337
2529,136969
2530,127146
2531,258259
2532,227831
2533,195555
2534,226363
2535,304217
2536,233397
2537,234895
2538,186473
2539,188065
2540,182009
2541,182060
2542,162917
2543,119317
2544,121697
2545,130662
2546,128589
2547,148576
2548,160743
2549,159066
2550,1722587
2551,140190
2552,129384
2553,72041
2554,89167
2555,122604
2556,103006
2557,105122
2558,157451
2559,140304
2560,152969
2561,149247
2562,134296
2563,143967
2564,196576
2565,134510
2566,155659
2567,138263
2568,210330
2569,217903
2570,119211
2571,186264
2572,145801
2573,217432
2574,306749
2575,127821
2576,110620
2577,122633
2578,86505
2579,59972
2580,92609
2581,114117
2582,119175
2583,284226
2584,181282
2585,188713
2586,228921
2587,203368
2588,140533
2589,151814
2590,207768
2591,236277
2592,217172
2593,248000
2594,176856
2595,196097
2596,302785
2597,181780
2598,287359
2599,322903
2600,154592
2601,139309
2602,87070
2603,96411
2604,92716
2605,83949
2606,147018
2607,217605
2608,195330
2609,177285
2610,107462
2611,119741
2612,160462
2613,129034
2614,119675
2615,154873
2616,151777
2617,186804
2618,199687
2619,203828
2620,185894
2621,169879
2622,177814
2623,242348
2624,317014
2625,298114
2626,170954
2627,156307
2628,464924
2629,518627
2630,367384
2631,502361
2632,413703
2633,297069
2634,413346
2635,156817
2636,170039
2637,174941
2638,272156
2639,186354
2640,146140
2641,105385
2642,183697
2643,108244
2644,123001
2645,113183
2646,99733
2647,107764
2648,145143
2649,155527
2650,135055
2651,139280
2652,414946
2653,250444
2654,255237
2655,395521
2656,326973
2657,358690
2658,302285
2659,303873
2660,364541
2661,351259
2662,356942
2663,296304
2664,256739
2665,319151
2666,274398
2667,177487
2668,182274
2669,186257
2670,284778
2671,189815
2672,201025
2673,206479
2674,198608
2675,175475
2676,195998
2677,201003
2678,253321
2679,268603
2680,278165
2681,401273
2682,327370
2683,567195
2684,309493
2685,329806
2686,256978
2687,313913
2688,213972
2689,202473
2690,445160
2691,187246
2692,140490
2693,204567
2694,136809
2695,194496
2696,185430
2697,184537
2698,193960
2699,172738
2700,153133
2701,151244
2702,110137
2703,123763
2704,138351
2705,114035
2706,109528
2707,122956
2708,131270
2709,101798
2710,126850
2711,321655
2712,387889
2713,175625
2714,155244
2715,171254
2716,152810
2717,201629
2718,220471
2719,148222
2720,174840
2721,130388
2722,163082
2723,141504
2724,124848
2725,127974
2726,157735
2727,177192
2728,183627
2729,147408
2730,144477
2731,135448
2732,128826
2733,160303
2734,144634
2735,135730
2736,138833
2737,120853
2738,139065
2739,155732
2740,139545
2741,138881
2742,152515
2743,159963
2744,166053
2745,143253
2746,135467
2747,146937
2748,123348
2749,129972
2750,129774
2751,135293
2752,189908
2753,142502
2754,213808
2755,137432
2756,104360
2757,75855
2758,96473
2759,159332
2760,115440
2761,143419
2762,142415
2763,185068
2764,146610
2765,300619
2766,130604
2767,86803
2768,126415
2769,129927
2770,139356
2771,106094
2772,108838
2773,162519
2774,142546
2775,112383
2776,140340
2777,145636
2778,109971
2779,119599
2780,97205
2781,100898
2782,98965
2783,98068
2784,119332
2785,138447
2786,70978
2787,117871
2788,77325
2789,166466
2790,97125
2791,106880
2792,63883
2793,150230
2794,93500
2795,120894
2796,99787
2797,200243
2798,99164
2799,106928
2800,67994
2801,107195
2802,126154
2803,171490
2804,124266
2805,101675
2806,88522
2807,164758
2808,146671
2809,130704
2810,123035
2811,160391
2812,164368
2813,163977
2814,163704
2815,92108
2816,232845
2817,153900
2818,132312
2819,187667
2820,139291
2821,104083
2822,194262
2823,370019
2824,188160
2825,148231
2826,140695
2827,137890
2828,220900
2829,225903
2830,237125
2831,174012
2832,258427
2833,285802
2834,224641
2835,220859
2836,192985
2837,162818
2838,147645
2839,172678
2840,203895
2841,201860
2842,232599
2843,148635
2844,167846
2845,127515
2846,205824
2847,205175
2848,218816
2849,199405
2850,282918
2851,210733
2852,238735
2853,241125
2854,140216
2855,203945
2856,204076
2857,190030
2858,209334
2859,112486
2860,122380
2861,124967
2862,196508
2863,128455
2864,256554
2865,139513
2866,139461
2867,102275
2868,102879
2869,99796
2870,116966
2871,81817
2872,61900
2873,101107
2874,129569
2875,113247
2876,162129
2877,153408
2878,158771
2879,140286
2880,102962
2881,145161
2882,171510
2883,194929
2884,190516
2885,177702
2886,232528
2887,93878
2888,138134
2889,59709
2890,82113
2891,133769
2892,48857
2893,78871
2894,63476
2895,317087
2896,276518
2897,193947
2898,153577
2899,205477
2900,163624
2901,195365
2902,189869
2903,331599
2904,351500
2905,75974
2906,199641
2907,116829
2908,129519
2909,152390
2910,82142
2911,89012
2912,144642
2913,83438
2914,80515
2915,88917
2916,86526
2917,170319
2918,113465
2919,224946
